ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
Dell Inspiron 3112,51.46526648,29.54907384,22.72715232,15.91568308,15.65548675,2292,Disk Failure
Dell ThinkPad 2987,52.6746184,32.79721234,24.71886024,10.56256241,22.26459421,1221,Power Issue
Dell Inspiron 1213,19.2045144,35.92113215,86.3978038,19.44723214,22.70502293,1217,Disk Failure
Dell Inspiron 1668,97.89111404,0.06574857,92.30753579,13.4177323,6.423407659,2202,Power Issue
Dell Galaxy 2657,36.74374671,5.703959403,83.36515845,11.75782122,23.37692317,1387,Disk Failure
Dell Aspire 5331,49.76370637,65.29462743,79.69404904,12.14632642,26.79915862,4926,Power Issue
Dell MacBook 2215,24.18240324,82.46586187,40.28862746,14.65357652,61.5943795,4930,Power Issue
Dell ZenBook 1468,54.23687408,57.58745539,62.01048475,15.56330579,63.89221664,4306,Power Issue
Dell Inspiron 5199,9.199172093,46.34485136,48.20208145,13.73499958,27.57068334,1471,Memory Leak
Dell Vaio 6225,83.16617508,32.41919426,88.65385344,12.09537884,86.6797899,2153,Power Issue
Dell ZenBook 5039,71.43863593,65.2711807,45.63443604,19.67659507,54.0969054,4159,Disk Failure
Dell ThinkPad 8128,11.00503986,48.19547489,73.62089554,16.1530538,86.06730055,2611,Power Issue
Dell MacBook 9898,49.54879627,92.90055884,93.53610785,17.19778564,22.80351008,3394,Overheating
Dell Vaio 1316,79.62190148,73.47449048,36.08829224,18.28833251,31.56207606,3867,Disk Failure
Dell Satellite 6409,15.94700696,50.28383931,21.96036933,12.16228195,54.07130411,1004,Power Issue
Dell Vaio 6001,33.12469669,75.55838003,56.0466265,18.2875823,55.55876068,4847,Overheating
Dell ZenBook 9277,59.54443372,27.4716602,90.14825842,19.30966636,20.16453951,1789,Memory Leak
Dell Pavilion 1002,78.53045317,0.851010763,34.77862769,18.99924837,47.42695191,3012,Overheating
Dell Vaio 6759,72.81112786,2.311504526,70.27984311,16.03737169,9.058210495,1197,Disk Failure
Dell Satellite 8922,22.17979883,26.26944027,53.84469953,14.11428704,39.41238251,4184,Overheating
Dell Aspire 6332,92.65386548,47.51210867,73.01899755,10.40503268,20.30988094,3451,No Problem
Dell ThinkPad 6432,99.88597497,55.45478926,72.72622245,18.88302344,53.10832959,4243,Overheating
Dell Pavilion 3136,51.32375321,17.68851525,27.13399094,17.22024678,55.80133274,4439,Power Issue
Dell ZenBook 5382,45.03749763,28.2799157,59.31423243,15.68030478,74.50652433,2449,Memory Leak
Dell Aspire 9024,21.41024119,28.68227248,27.26444615,13.09574494,93.23648276,2445,Disk Failure
Dell Inspiron 7736,60.3786933,36.54678262,57.73776599,18.74331473,16.69439469,2561,No Problem
Dell Inspiron 8487,42.83819401,11.22604156,51.33830265,14.72843801,76.68170645,3847,Overheating
Dell Surface 7957,69.41276298,83.66655561,78.0347884,15.89911331,7.685693586,3402,No Problem
Dell Galaxy 4972,68.96352117,68.46530738,89.73783713,10.8867083,57.1172441,1102,Overheating
Dell Aspire 2935,17.08964452,99.90446785,70.14977485,14.88434003,64.75109246,1069,Disk Failure
Dell Surface 8025,25.65083296,12.12371441,24.84425636,15.14345408,43.18742146,4883,Disk Failure
Dell Inspiron 7139,61.76282694,53.91144938,99.19262628,10.18072686,79.17687954,2825,Overheating
Dell Vaio 1035,94.69475726,39.6712726,47.09872458,11.68745708,70.74895426,2453,No Problem
Dell Satellite 8879,63.81786446,87.47754305,67.14867095,17.10321747,19.24258429,4674,Overheating
Dell ZenBook 1500,23.40052055,4.113119413,85.85133199,13.33543494,27.98972442,4523,Memory Leak
Dell MacBook 5615,21.19516039,82.39069224,77.65621257,14.77224409,11.39701549,2150,Disk Failure
Dell ThinkPad 8912,65.67928975,22.74434657,69.22726631,16.65304428,72.39856251,1801,Overheating
Dell ThinkPad 4029,48.64205938,27.97063371,81.55156732,14.80738174,73.14617142,3551,Power Issue
Dell Surface 7147,94.58799192,54.13194714,42.02408264,18.11773429,59.75951839,1424,Disk Failure
Dell ThinkPad 5341,99.73582235,62.45000602,37.74239612,14.76604469,96.165111,2097,No Problem
Dell Satellite 5718,72.83281264,78.03915857,96.7722248,17.82840564,30.09405296,1321,Memory Leak
Dell Vaio 8049,52.52320945,5.65251608,44.41171016,13.42708261,38.04903982,1513,Power Issue
Dell ZenBook 3528,69.99526335,44.19590208,91.82040126,17.66885586,4.413237435,3755,Disk Failure
Dell Surface 8134,19.74748705,53.5440512,87.30167244,18.5183723,46.32959232,2199,Memory Leak
Dell MacBook 1026,86.367699,98.32028073,89.43439635,18.05446005,85.51283561,3848,Disk Failure
Dell Satellite 9997,61.61150055,71.64965794,76.87837151,17.62440675,32.54817234,1418,Power Issue
Dell Galaxy 5885,46.48565781,21.60736304,38.64752022,10.18438232,25.5789633,4783,Memory Leak
Dell Galaxy 7435,58.98426914,30.24379246,62.82994898,10.09028288,72.17516132,4208,Memory Leak
Dell Galaxy 1958,27.66700275,31.46265689,59.86934215,12.95995052,84.51274946,3991,No Problem
Dell Inspiron 1305,43.29205948,8.917497535,43.87855396,14.66690837,79.45713655,2490,Overheating
Dell MacBook 5213,93.14399814,38.67740258,74.5526946,13.34680389,43.50346178,3372,Disk Failure
Dell Satellite 7876,48.47547554,39.66401481,36.72781841,15.35828098,91.73705829,4426,Memory Leak
Dell Aspire 4051,0.805790316,70.72606764,91.40659272,12.9085566,1.965704704,4366,Power Issue
Dell Satellite 4760,66.25631074,72.35269276,29.10926064,16.76958998,2.824659821,2732,Disk Failure
Dell ThinkPad 7885,57.0062007,4.045043346,59.68177203,13.8426553,62.69694163,3111,No Problem
Dell Satellite 9043,40.05099816,60.41222291,66.78409848,17.81882751,39.09435919,2170,No Problem
Dell MacBook 6033,80.1456916,40.48997272,37.3261094,15.75276614,46.55633856,1388,Memory Leak
Dell Surface 8104,67.69388488,82.7137898,67.21396949,19.29352484,80.30477385,3159,Power Issue
Dell Aspire 3724,55.93862896,9.948678753,77.64504307,14.31748112,59.81731472,4592,No Problem
Dell Vaio 2529,43.04418716,11.12161595,40.91632816,13.13587881,65.09548486,1276,No Problem
Dell ThinkPad 6670,99.07161929,74.59283133,43.80504717,11.58873422,89.90389985,2638,Disk Failure
Dell Surface 8866,75.55269304,97.31092241,42.95665333,12.33483575,2.544379742,4106,Memory Leak
Dell Surface 9529,13.66307483,68.66261345,44.00287164,17.95356133,0.280681322,3145,Memory Leak
Dell Galaxy 7088,76.12211464,80.27822669,81.52471563,12.24041111,65.63792422,1163,Overheating
Dell Satellite 6100,32.7784153,76.47156966,94.96075286,15.32311316,10.69639709,2581,No Problem
Dell Galaxy 8717,36.98320319,30.2814236,90.94429222,11.91437715,79.49361117,4742,Power Issue
Dell Aspire 4144,29.81414615,50.99463946,84.78615288,10.16638778,67.93304633,1680,No Problem
HP Satellite 3050,28.23259422,42.54160215,37.78523723,10.88077595,86.69989405,2077,Disk Failure
HP Inspiron 6355,28.56103431,69.75559076,98.14293848,18.21552242,62.70882981,2211,Power Issue
HP Satellite 5218,9.073285895,42.04531147,90.21381289,10.57348848,24.37628125,2474,Memory Leak
HP Satellite 8595,12.67726481,61.42596466,32.05624897,17.17588977,8.885650169,2848,Power Issue
HP MacBook 2784,43.02773761,19.69673144,35.90381582,18.41672161,50.28793192,2286,Disk Failure
HP MacBook 3749,6.776304469,47.54920032,22.54669589,10.93076032,64.52365681,3663,Disk Failure
HP ZenBook 2188,36.06638819,43.14888111,75.53004731,18.35177932,50.76794993,4541,Overheating
HP Galaxy 2469,55.21353677,97.7890119,21.34863808,15.75516291,80.41871382,4961,Memory Leak
HP Aspire 3511,77.41022524,61.53155859,36.43374503,13.8735632,16.81260219,4921,Power Issue
HP Inspiron 7460,36.79348838,49.4379411,24.90088203,19.36650357,3.005933692,4936,Power Issue
HP Galaxy 7625,99.31426116,71.05806877,72.7630052,16.7676614,43.24658854,3920,No Problem
HP MacBook 9603,27.7681666,52.41814686,78.13721825,19.16355105,73.74715738,1348,No Problem
HP Pavilion 3403,23.44447108,55.24778959,36.20404339,18.93588096,70.9637559,1667,Power Issue
HP Satellite 8207,23.25333622,46.25585195,78.73280993,16.74905002,29.81968537,3041,Disk Failure
HP Satellite 4286,31.7697518,9.972364453,71.56178828,13.89118363,28.91687835,3787,No Problem
HP Inspiron 4999,97.13423929,5.086748223,42.85545516,12.29171974,16.54452388,2290,Power Issue
HP Surface 4343,83.28096248,1.92958103,48.16622033,16.50073851,80.04917323,3587,Memory Leak
HP Pavilion 5587,18.37986909,34.26560048,53.00386011,12.62859403,69.21641123,4191,Overheating
HP Galaxy 4342,62.90165832,3.816247665,70.19428287,17.67991909,72.25997464,4878,Memory Leak
HP Aspire 7610,59.14226095,32.92628943,92.91476469,13.81711699,72.19615669,4093,Memory Leak
HP MacBook 5314,81.02772474,38.50525594,85.03267463,14.5659016,30.71882459,3765,Overheating
HP ZenBook 1006,94.31640697,31.90247463,71.14946342,12.64816798,19.35435812,4509,Power Issue
HP ZenBook 1087,73.98363724,51.80979085,63.36748548,13.79450028,11.04490761,2886,Disk Failure
HP Surface 8596,99.11130468,81.12931679,60.19499277,19.50335244,50.00866604,2488,Disk Failure
HP Satellite 1912,85.79113977,17.06772992,76.61777896,14.13994298,96.58083586,3370,Overheating
HP Satellite 7644,3.623646515,73.31887234,67.04367824,16.17146908,95.07713115,3687,No Problem
HP Aspire 7507,14.66992571,44.00025391,70.64362613,18.18103572,66.67042316,3419,Disk Failure
HP MacBook 8273,73.77028009,79.04395387,48.15905757,15.52891446,95.70644982,2514,No Problem
HP Vaio 2941,53.71040462,41.0790934,33.83047538,12.48573818,69.23781174,1799,Overheating
HP Inspiron 1735,21.87895077,73.57338045,72.34134162,12.63420434,21.2575651,2348,Memory Leak
HP Satellite 8703,49.39922575,28.9202848,55.76590836,16.63190534,50.30821992,2061,Memory Leak
HP Vaio 9858,40.93435974,83.03902514,71.68548387,13.13137919,85.64064989,4522,Disk Failure
HP Surface 5997,6.662053322,39.88182807,98.51470057,12.37394071,17.91178189,2374,Disk Failure
HP Pavilion 5928,17.514581,64.17542492,45.76205332,11.04033492,54.75013924,2104,Overheating
HP Satellite 3229,5.170140768,82.04385046,98.66910613,18.37854093,10.97611698,2485,Memory Leak
HP Surface 9509,48.78805847,60.74043904,39.37605506,17.45165812,34.81867969,1108,Power Issue
HP ThinkPad 3621,55.3012198,76.17048661,71.72249462,19.80700963,35.89977022,2134,Overheating
HP ZenBook 8454,13.1710346,72.7747497,44.30808798,13.76747748,75.09575873,4607,Disk Failure
HP ThinkPad 5913,2.096607691,28.73541148,71.36425226,11.17423952,27.8479579,4580,Overheating
HP Pavilion 9974,23.39549374,20.85967468,97.24822543,12.85873665,26.59583825,2608,No Problem
HP Pavilion 1070,66.47818881,18.14402314,85.83035688,18.28217836,69.97685511,1778,Disk Failure
HP Galaxy 4927,50.43792638,54.70427532,78.26132542,13.74363448,33.49164956,1620,Disk Failure
HP ThinkPad 4804,4.16061337,2.708911631,54.55348185,12.18975319,22.20956622,1353,Overheating
HP ThinkPad 6862,46.51475017,36.82249429,67.90396215,10.98495336,10.74196032,2356,Memory Leak
HP Vaio 1421,88.98614108,75.61553494,31.79488758,19.69837511,45.69716427,1453,Memory Leak
HP Satellite 4150,51.55615861,31.65354399,32.2744936,10.01702948,79.11208325,3187,Memory Leak
HP Surface 4296,67.95839303,27.75574793,68.8763033,17.76211373,99.77999304,1451,No Problem
HP ThinkPad 2773,28.17499952,34.51647881,64.63081706,11.15502564,43.50545436,3358,Disk Failure
HP Vaio 2964,48.69788657,65.28457005,71.93817018,13.83550657,33.98820021,3289,Overheating
HP ZenBook 8635,38.59872011,27.02962296,54.08893672,18.41634925,6.203115868,3844,Memory Leak
HP Surface 6918,48.73856091,83.57050513,74.09657079,14.34586522,44.09455109,1569,Power Issue
HP Galaxy 9261,69.1001023,48.88150304,85.05629048,10.79741592,9.481213007,4914,Power Issue
HP ThinkPad 2943,56.88381241,68.95307026,24.11035053,13.77400893,54.03487538,4189,Disk Failure
HP ZenBook 5519,4.633601257,23.26686647,45.18155278,18.04000822,76.1933034,1639,No Problem
HP Surface 9592,92.93789774,65.39761321,30.16381835,18.5689418,56.90170525,1143,Disk Failure
HP ThinkPad 8355,29.51527017,62.3770797,90.2973144,16.10480427,15.01738176,2518,Memory Leak
HP Inspiron 4625,92.32138851,8.583974072,81.5013969,18.27816754,79.96305974,2236,Disk Failure
HP MacBook 8405,98.55762274,29.09954959,98.31321401,13.64911998,71.15751128,3382,Overheating
HP Pavilion 1147,55.945168,98.60665443,37.55304711,13.07876852,23.7145385,2852,Overheating
HP Aspire 9599,33.73165083,73.44286039,47.3096604,19.52954759,19.64378209,2443,Power Issue
HP Aspire 1851,90.00478157,69.60789207,38.02748064,10.76798213,19.36735255,1624,Overheating
HP Satellite 9572,12.60418501,46.87558363,69.22326196,16.38791953,76.83418994,1372,Memory Leak
HP ThinkPad 6083,2.051405484,4.701775566,81.28505754,18.31246823,15.94235619,1305,Power Issue
HP ThinkPad 7185,1.280829748,79.69407366,27.4822309,19.70040769,14.05507692,1419,Overheating
HP Galaxy 4206,32.98012344,40.50648084,83.36645,15.32333019,41.12930119,2218,Disk Failure
HP Surface 7352,4.579705277,46.22431539,48.48394379,19.97357079,27.67548731,1838,Power Issue
HP Inspiron 8272,42.75891845,77.97340211,23.63124409,12.50713365,3.449692879,3358,Power Issue
HP Pavilion 5885,8.876852941,92.79060255,77.82221787,17.2233631,18.65922286,4159,Power Issue
HP Aspire 4422,57.83619863,45.4490756,88.63285867,15.56019271,98.70661945,2464,No Problem
HP Surface 8215,12.40276245,7.852334266,76.30514062,10.91301463,12.24125312,4995,Power Issue
HP ZenBook 9597,75.01013645,36.08839364,43.46234004,18.95229796,66.84730087,2695,Memory Leak
HP Pavilion 5059,40.08294889,27.24136939,40.43968915,12.64253744,74.08598949,2703,Memory Leak
HP Inspiron 7599,38.03896239,53.43728908,23.15533598,11.64370152,59.00172323,4177,Power Issue
HP Galaxy 9874,60.83436763,4.510439216,47.47128025,17.20751965,97.31457047,2709,Power Issue
HP ZenBook 8501,54.35854648,24.02056981,82.62637841,17.7770701,97.51633071,2174,Overheating
HP Pavilion 8311,77.08535714,46.50346659,21.09893173,16.61229046,84.52267319,3295,Overheating
